"SIC4","NAICS6","SIC_Description","NAICS_Description","Establishments","Employees","Annual_Payroll","Est_weight","Emp_weight","Pay_weight"
"3999","314999","Mfg industries, n.e.c.","All Other Miscellaneous Textile Product Mills",2654,46715,999006780,0.05,0.04,0.02
"3999","316110","Mfg industries, n.e.c.","Leather and Hide Tanning and Finishing",338,13848,417603966,0.01,0.01,0.01
"3999","321999","Mfg industries, n.e.c.","All Other Miscellaneous Wood Product Manufacturing",2199,37199,816494291,0.04,0.03,0.02
"3999","322299","Mfg industries, n.e.c.","All Other Converted Paper Product Manufacturing",654,22822,715873303,0.01,0.02,0.02
"3999","323110","Mfg industries, n.e.c.","Commercial Lithographic Printing",14986,321182,11384688346,0.3,0.25,0.28
"3999","323111","Mfg industries, n.e.c.","Commercial Gravure Printing",493,20580,731989926,0.01,0.02,0.02
"3999","323112","Mfg industries, n.e.c.","Commercial Flexographic Printing",1861,48959,1607768329,0.04,0.04,0.04
"3999","323113","Mfg industries, n.e.c.","Commercial Screen Printing",4931,73342,1763666396,0.1,0.06,0.04
"3999","323119","Mfg industries, n.e.c.","Other Commercial Printing",3433,51470,1574493154,0.07,0.04,0.04
"3999","325998","Mfg industries, n.e.c.","All Other Miscellaneous Chemical Product and Preparation Manufacturing",1293,42261,2058952407,0.03,0.03,0.05
"3999","326199","Mfg industries, n.e.c.","All Other Plastics Product Manufacturing",8137,387583,10965788208,0.16,0.3,0.27
"3999","332212","Mfg industries, n.e.c.","Hand and Edge Tool Manufacturing",1311,52904,1824790669,0.03,0.04,0.05
"3999","332999","Mfg industries, n.e.c.","All Other Miscellaneous Fabricated Metal Product Manufacturing",2654,70365,2200451230,0.05,0.05,0.05
"3999","335121","Mfg industries, n.e.c.","Residential Electric Lighting Fixture Manufacturing",710,23530,580708086,0.01,0.02,0.01
"3999","337127","Mfg industries, n.e.c.","Institutional Furniture Manufacturing",803,32024,907758690,0.02,0.02,0.02
"3999","339999","Mfg industries, n.e.c.","All Other Miscellaneous Manufacturing",2909,64690,1701595590,0.06,0.05,0.04
"4111","485111","Local & suburban transit","Mixed Mode Transit Systems",275,107388,4498429698,0.14,0.54,0.61
"4111","485112","Local & suburban transit","Commuter Rail Systems",8,187,6461075,0,0,0
"4111","485113","Local & suburban transit","Bus and Other Motor Vehicle Transit Systems",786,73923,2502443485,0.41,0.37,0.34
"4111","485119","Local & suburban transit","Other Urban Transit Systems",39,625,12385256,0.02,0,0
"4111","485999","Local & suburban transit","All Other Transit and Ground Passenger Transportation",797,18238,316214000,0.42,0.09,0.04
"4119","485320","Other local passenger transportation","Limousine Service",3877,33646,609181560,0.24,0.09,0.1
"4119","485410","Other local passenger transportation","School and Employee Bus Transportation",5206,170033,2526910218,0.32,0.47,0.41
"4119","485991","Other local passenger transportation","Special Needs Transportation",1686,24761,426853813,0.11,0.07,0.07
"4119","485999","Other local passenger transportation","All Other Transit and Ground Passenger Transportation",797,18238,316214000,0.05,0.05,0.05
"4119","487110","Other local passenger transportation","Scenic and Sightseeing Transportation, Land",807,13362,271117130,0.05,0.04,0.04
"4119","621910","Other local passenger transportation","Ambulance Services",3661,101495,2078036483,0.23,0.28,0.33
"4121","485310","Taxi service","Taxi Service",3497,31751,519427561,1,1,1
"4131","485210","Interurban & rural bus transportation","Interurban and Rural Bus Transportation",587,23017,538209455,1,1,1
"4141","485510","Charter bus service, local","Charter Bus Industry",1675,33099,615831786,1,1,1
"4142","485510","Charter bus service, interstate/interurban","Charter Bus Industry",1675,33099,615831786,1,1,1
"4151","485410","School bus service","School and Employee Bus Transportation",5206,170033,2526910218,1,1,1
"4173","488490","Bus terminal & service facilities","Other Support Activities for Road Transportation",1766,35775,1057669554,1,1,1
"4212","484110","Local trucking without storage","General Freight Trucking, Local",26280,222499,6391544288,0.38,0.37,0.39
"4212","484210","Local trucking without storage","Used Household and Office Goods Moving",7554,104807,2635177538,0.11,0.18,0.16
"4212","484220","Local trucking without storage","Specialized Freight (except Used Goods) Trucking, Local",28043,172838,4611661009,0.4,0.29,0.28
"4212","562111","Local trucking without storage","Solid Waste Collection",5477,73379,2149788923,0.08,0.12,0.13
"4212","562112","Local trucking without storage","Hazardous Waste Collection",554,13309,472807320,0.01,0.02,0.03
"4212","562119","Local trucking without storage","Other Waste Collection",1527,8280,224759262,0.02,0.01,0.01
"4213","484121","Trucking, except local","General Freight Trucking, Long-Distance, Truckload",30655,484747,15232603850,0.59,0.53,0.53
"4213","484122","Trucking, except local","General Freight Trucking, Long-Distance, Less Than Truckload",6879,224741,7969132316,0.13,0.25,0.28
"4213","484210","Trucking, except local","Used Household and Office Goods Moving",7554,104807,2635177538,0.15,0.12,0.09
"4213","484230","Trucking, except local","Specialized Freight (except Used Goods) Trucking, Long-Distance",6997,92375,3026559836,0.13,0.1,0.1
"4214","484110","Local trucking with storage","General Freight Trucking, Local",26280,222499,6391544288,0.42,0.44,0.47
"4214","484210","Local trucking with storage","Used Household and Office Goods Moving",7554,104807,2635177538,0.12,0.21,0.19
"4214","484220","Local trucking with storage","Specialized Freight (except Used Goods) Trucking, Local",28043,172838,4611661009,0.45,0.35,0.34
"4215","492110","Courier services, except by air","Couriers",8053,516496,15665017076,0.67,0.91,0.94
"4215","492210","Courier services, except by air","Local Messengers and Local Delivery",4002,51966,1018387087,0.33,0.09,0.06
"4221","493130","Farm product warehousing & storage facilities","Farm Product Warehousing and Storage",1010,11015,281521899,1,1,1
"4222","493120","Refrigerated products warehousing","Refrigerated Warehousing and Storage",1325,37327,1101988333,1,1,1
"4225","493110","General warehousing & storage","General Warehousing and Storage",8201,389667,11189566018,0.58,0.94,0.96
"4225","531130","General warehousing & storage","Lessors of Miniwarehouses and Self-Storage Units",6049,25559,475480801,0.42,0.06,0.04
"4226","493110","Other special warehousing & storage","General Warehousing and Storage",8201,389667,11189566018,0.72,0.84,0.83
"4226","493120","Other special warehousing & storage","Refrigerated Warehousing and Storage",1325,37327,1101988333,0.12,0.08,0.08
"4226","493190","Other special warehousing & storage","Other Warehousing and Storage",1901,35544,1116815844,0.17,0.08,0.08
"4231","488490","Trucking terminal facilities","Other Support Activities for Road Transportation",1766,35775,1057669554,1,1,1
"4412","483111","Deep sea freight transportation","Deep Sea Freight Transportation",394,14396,848931496,1,1,1
"4424","483113","Coastal & intercoastal freight transportation","Coastal and Great Lakes Freight Transportation",231,10848,615457153,1,1,1
"4432","483113","Great LakesSt. Lawrence Seaway freight transportation","Coastal and Great Lakes Freight Transportation",231,10848,615457153,1,1,1
"4449","483211","Inland waterways freight transportation","Inland Water Freight Transportation",412,14717,580515971,1,1,1
"4481","483112","Deep sea passenger transportation, except by ferry","Deep Sea Passenger Transportation",99,4275,152692723,0.49,0.42,0.43
"4481","483114","Deep sea passenger transportation, except by ferry","Coastal and Great Lakes Passenger Transportation",104,5912,202055230,0.51,0.58,0.57
"4482","483114","Ferry transportation","Coastal and Great Lakes Passenger Transportation",104,5912,202055230,0.4,0.7,0.75
"4482","483212","Ferry transportation","Inland Water Passenger Transportation",155,2586,68461803,0.6,0.3,0.25
"4489","483212","Water transportation of passengers, n.e.c.","Inland Water Passenger Transportation",155,2586,68461803,0.07,0.13,0.18
"4489","487210","Water transportation of passengers, n.e.c.","Scenic and Sightseeing Transportation, Water",2016,16910,308706183,0.93,0.87,0.82
"4491","488310","Marine cargo handling & operation of port & waterfront terminals","Port and Harbor Operations",353,21451,1102200402,0.31,0.34,0.44
"4491","488320","Marine cargo handling & operation of port & waterfront terminals","Marine Cargo Handling",799,41541,1384143843,0.69,0.66,0.56
"4492","483113","Towing & tugboat services","Coastal and Great Lakes Freight Transportation",231,10848,615457153,0.12,0.23,0.31
"4492","483211","Towing & tugboat services","Inland Water Freight Transportation",412,14717,580515971,0.21,0.31,0.29
"4492","488330","Towing & tugboat services","Navigational Services to Shipping",1359,21422,807368254,0.68,0.46,0.4
"4493","713930","Marinas","Marinas",3886,26493,550245526,1,1,1
"4499","488310","Other water transportation services","Port and Harbor Operations",353,21451,1102200402,0.09,0.32,0.4
"4499","488330","Other water transportation services","Navigational Services to Shipping",1359,21422,807368254,0.36,0.32,0.29
"4499","488390","Other water transportation services","Other Support Activities for Water Transportation",820,12149,426531515,0.21,0.18,0.15
"4499","532411","Other water transportation services","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",1289,11358,443394140,0.34,0.17,0.16
"4512","481111","Scheduled air transportation","Scheduled Passenger Air Transportation",2385,481611,21641213011,0.82,0.96,0.97
"4512","481112","Scheduled air transportation","Scheduled Freight Air Transportation",540,17531,598482953,0.18,0.04,0.03
"4513","492110","Air courier services","Couriers",8053,516496,15665017076,1,1,1
"4522","481211","Nonscheduled air transportation","Nonscheduled Chartered Passenger Air Transportation",1838,26692,899526474,0.27,0.19,0.26
"4522","481212","Nonscheduled air transportation","Nonscheduled Chartered Freight Air Transportation",523,8464,325619342,0.08,0.06,0.09
"4522","481219","Nonscheduled air transportation","Other Nonscheduled Air Transportation",417,3331,109476725,0.06,0.02,0.03
"4522","487990","Nonscheduled air transportation","Scenic and Sightseeing Transportation, Other",306,4191,86038127,0.05,0.03,0.02
"4522","621910","Nonscheduled air transportation","Ambulance Services",3661,101495,2078036483,0.54,0.7,0.59
"4581","488111","Airport terminal services","Air Traffic Control",858,38438,2013558445,0.01,0.04,0.13
"4581","488119","Airport terminal services","Other Airport Operations",1975,74123,1840886710,0.03,0.07,0.11
"4581","488190","Airport terminal services","Other Support Activities for Air Transportation",3380,60354,1916621877,0.06,0.06,0.12
"4581","561720","Airport terminal services","Janitorial Services",52607,828782,10329247223,0.89,0.83,0.64
"4612","486110","Pipeline transportation of crude oil","Pipeline Transportation of Crude Oil",573,9097,555392163,1,1,1
"4613","486910","Pipeline transportation of refined petroleum products","Pipeline Transportation of Refined Petroleum Products",398,4850,263519943,1,1,1
"4619","486990","All other pipeline transportation","All Other Pipeline Transportation",28,332,16445584,1,1,1
"4724","561510","Travel agencies","Travel Agencies",26744,170983,4328013522,1,1,1
"4725","561520","Tour operators","Tour Operators",3632,35529,944457294,1,1,1
"4729","488999","Arrangement of passenger transportation, n.e.c.","All Other Support Activities for Transportation",596,9900,283462548,0.14,0.12,0.14
"4729","561599","Arrangement of passenger transportation, n.e.c.","All Other Travel Arrangement and Reservation Services",3654,70649,1746314279,0.86,0.88,0.86
"4731","488510","Freight shipping services","Freight Transportation Arrangement",16242,158782,5836807518,0.45,0.68,0.59
"4731","541618","Freight shipping services","Other Management Consulting Services",19908,73430,4069727810,0.55,0.32,0.41
"4741","532411","Railroad car rental","Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",1289,11358,443394140,1,1,1
"4783","488991","Packing & crating","Packing and Crating",1279,17215,394097379,1,1,1
"4785","488390","Fixed facilities, inspection, & weighing services","Other Support Activities for Water Transportation",820,12149,426531515,0.32,0.25,0.29
"4785","488490","Fixed facilities, inspection, & weighing services","Other Support Activities for Road Transportation",1766,35775,1057669554,0.68,0.75,0.71
"4789","487110","Transportation services, n.e.c.","Scenic and Sightseeing Transportation, Land",807,13362,271117130,0.2,0.18,0.13
"4789","488210","Transportation services, n.e.c.","Support Activities for Rail Transportation",830,16766,496071509,0.21,0.22,0.24
"4789","488490","Transportation services, n.e.c.","Other Support Activities for Road Transportation",1766,35775,1057669554,0.44,0.47,0.5
"4789","488999","Transportation services, n.e.c.","All Other Support Activities for Transportation",596,9900,283462548,0.15,0.13,0.13
"4812","513321","Radiotelephone","Paging",1716,31774,1259525711,0.15,0.11,0.09
"4812","513322","Radiotelephone","Cellular and Other Wireless Telecommunications",2890,107726,5057923134,0.25,0.36,0.35
"4812","513330","Radiotelephone","Telecommunications Resellers",6738,156335,8014738845,0.59,0.53,0.56
"4813","513310","Other telephone","Wired Telecommunications Carriers",16898,629844,32509908178,0.64,0.76,0.78
"4813","513330","Other telephone","Telecommunications Resellers",6738,156335,8014738845,0.26,0.19,0.19
"4813","561421","Other telephone","Telephone Answering Services",2705,47613,1067439126,0.1,0.06,0.03
"4822","513310","Telegraph communications","Wired Telecommunications Carriers",16898,629844,32509908178,1,1,1
"4832","513111","Radio broadcasting","Radio Networks",1272,25605,986373797,0.2,0.22,0.27
"4832","513112","Radio broadcasting","Radio Stations",5200,88456,2657749287,0.8,0.78,0.73
"4833","513120","Television broadcasting","Television Broadcasting",2185,129337,6485655923,1,1,1
"4841","513210","Cable & other pay television broadcasting","Cable Networks",1636,64891,2856853043,0.31,0.38,0.45
"4841","513220","Cable & other pay television broadcasting","Cable and Other Program Distribution",3604,106047,3515086646,0.69,0.62,0.55
"4899","513322","Communication services, n.e.c.","Cellular and Other Wireless Telecommunications",2890,107726,5057923134,0.29,0.66,0.71
"4899","513340","Communication services, n.e.c.","Satellite Telecommunications",951,19796,1125837318,0.1,0.12,0.16
"4899","513390","Communication services, n.e.c.","Other Telecommunications",394,5411,285179503,0.04,0.03,0.04
"4899","812990","Communication services, n.e.c.","All Other Personal Services",5691,31040,649449337,0.57,0.19,0.09
"4911","221111","Electric services","Hydroelectric Power Generation",1317,86975,5030252821,0.17,0.16,0.17
"4911","221112","Electric services","Fossil Fuel Electric Power Generation",1930,192206,10835428991,0.24,0.36,0.37
"4911","221113","Electric services","Nuclear Electric Power Generation",119,51238,3281924874,0.01,0.1,0.11
"4911","221119","Electric services","Other Electric Power Generation",411,12786,670235659,0.05,0.02,0.02
"4911","221121","Electric services","Electric Bulk Power Transmission and Control",649,36379,1912359833,0.08,0.07,0.07
"4911","221122","Electric services","Electric Power Distribution",3542,158034,7603004601,0.44,0.29,0.26
"4941","221310","Water supply","Water Supply and Irrigation Systems",9025,127446,4157290230,1,1,1
"4961","221330","Steam and airgconditioning supply","Steam and Air-Conditioning Supply",125,2011,97290245,1,1,1
"4971","221310","Irrigation systems","Water Supply and Irrigation Systems",9025,127446,4157290230,1,1,1
"5012","421110","Automobiles & other motor vehicles","Automobile and Other Motor Vehicle Wholesalers",5870,110807,4001071798,1,1,1
"5013","421120","Motor vehicle supplies & new parts","Motor Vehicle Supplies and New Parts Wholesalers",13457,170227,5607533911,0.27,0.34,0.44
"5013","441310","Motor vehicle supplies & new parts","Automotive Parts and Accessories Stores",36989,334340,7065756631,0.73,0.66,0.56
"5014","421130","Tires & tubes","Tire and Tube Wholesalers",1506,15764,525200890,0.08,0.09,0.12
"5014","441320","Tires & tubes","Tire Dealers",17818,154874,3912281450,0.92,0.91,0.88
"5015","421140","Motor vehicle parts, used","Motor Vehicle Parts (Used) Wholesalers",3712,25819,596702621,1,1,1
"5021","421210","Furniture","Furniture Wholesalers",4227,40158,1559925931,0.14,0.13,0.19
"5021","442110","Furniture","Furniture Stores",26477,262727,6452908344,0.86,0.87,0.81
"5023","421220","Home furnishings","Home Furnishing Wholesalers",5931,58775,2094471126,0.27,0.37,0.43
"5023","442210","Home furnishings","Floor Covering Stores",16047,98398,2726616510,0.73,0.63,0.57
"5031","421310","Lumber, plywood, millwork, & wood panels","Lumber, Plywood, Millwork, and Wood Panel Wholesalers",8394,112733,4033405008,0.25,0.29,0.34
"5031","444190","Lumber, plywood, millwork, & wood panels","Other Building Material Dealers",24635,270228,7998073742,0.75,0.71,0.66
"5032","421320","Brick, stone, & related construction materials","Brick, Stone, and Related Construction Material Wholesalers",3943,37162,1331416048,0.14,0.12,0.14
"5032","444190","Brick, stone, & related construction materials","Other Building Material Dealers",24635,270228,7998073742,0.86,0.88,0.86
"5033","421330","Roofing, siding, & insulation materials","Roofing, Siding, and Insulation Material Wholesalers",2227,23899,910858734,0.08,0.08,0.1
"5033","444190","Roofing, siding, & insulation materials","Other Building Material Dealers",24635,270228,7998073742,0.92,0.92,0.9
"5039","421390","Construction materials, nec","Other Construction Material Wholesalers",1891,16586,556494778,0.07,0.06,0.07
"5039","444190","Construction materials, nec","Other Building Material Dealers",24635,270228,7998073742,0.93,0.94,0.93
"5043","421410","Photographic equipment & supplies","Photographic Equipment and Supplies Wholesalers",1504,18659,1000198464,1,1,1
"5044","421420","Office equipment","Office Equipment Wholesalers",5449,126537,5636212691,1,1,1
"5045","421430","Computers & computer peripheral equipment & software","Computer and Computer Peripheral Equipment and Software Wholesalers",16865,243793,15957048223,0.38,0.38,0.54
"5045","443120","Computers & computer peripheral equipment & software","Computer and Software Stores",21291,198489,8536366928,0.48,0.31,0.29
"5045","454110","Computers & computer peripheral equipment & software","Electronic Shopping and Mail-Order Houses",5899,204048,4943435411,0.13,0.32,0.17
"5046","421440","Commercial equipment, nec","Other Commercial Equipment Wholesalers",5499,48127,1752551288,1,1,1
"5047","421450","Medical, dental, & hospital equipment & supplies","Medical, Dental, and Hospital Equipment and Supplies Wholesalers",16841,130494,6377744016,0.68,0.74,0.8
"5047","446199","Medical, dental, & hospital equipment & supplies","All Other Health and Personal Care Stores",8050,46347,1566938122,0.32,0.26,0.2
"5048","421460","Ophthalmic goods","Ophthalmic Goods Wholesalers",2221,19355,665530365,1,1,1
"5049","421490","Professional equipment & supplies, nec","Other Professional Equipment and Supplies Wholesalers",3001,23604,1076792104,0.18,0.12,0.19
"5049","453210","Professional equipment & supplies, nec","Office Supplies and Stationery Stores",13278,178403,4497636272,0.82,0.88,0.81
"5051","421510","Metals service centers & offices","Metal Service Centers and Offices",8770,126085,5274996119,1,1,1
"5052","421520","Coal & other minerals & ores","Coal and Other Mineral and Ore Wholesalers",362,2324,148305124,1,1,1
"5063","421610","Electrical apparatus & equipment, wiring supplies & materials","Electrical Apparatus and Equipment, Wiring Supplies, and Construction Material Wholesalers",11695,139032,6059168652,0.32,0.34,0.43
"5063","444190","Electrical apparatus & equipment, wiring supplies & materials","Other Building Material Dealers",24635,270228,7998073742,0.68,0.66,0.57
"5064","421620","Electrical appliances, television & radio sets","Electrical Appliance, Television, and Radio Set Wholesalers",2825,29399,1230245971,1,1,1
"5065","421690","Electronic parts & equipment, nec","Other Electronic Parts and Equipment Wholesalers",15342,177019,9603638867,1,1,1
"5072","421710","Hardware","Hardware Wholesalers",6409,76826,2722170763,1,1,1
"5074","421720","Plumbing & heating equipment & supplies","Plumbing and Heating Equipment and Supplies (Hydronics) Wholesalers",7272,81358,2971947734,0.23,0.23,0.27
"5074","444190","Plumbing & heating equipment & supplies","Other Building Material Dealers",24635,270228,7998073742,0.77,0.77,0.73
"5075","421730","Warm air heating & airgconditioning equipment & supplies","Warm Air Heating and Air-Conditioning Equipment and Supplies Wholesalers",4729,49147,2075980605,1,1,1
"5078","421740","Refrigeration equipment & supplies","Refrigeration Equipment and Supplies Wholesalers",1297,12394,475440977,1,1,1
"5082","421810","Construction & mining (except petroleum) machinery & equipment","Construction and Mining (except Oil Well) Machinery and Equipment Wholesalers",5015,78781,3271722423,1,1,1
"5083","421820","Farm & garden machinery & equipment","Farm and Garden Machinery and Equipment Wholesalers",9618,101506,3013893240,0.61,0.75,0.81
"5083","444210","Farm & garden machinery & equipment","Outdoor Power Equipment Stores",6171,33330,722163525,0.39,0.25,0.19
"5084","421830","Industrial machinery & equipment","Industrial Machinery and Equipment Wholesalers",36537,329574,14390100440,1,1,1
"5085","421830","Industrial supplies","Industrial Machinery and Equipment Wholesalers",36537,329574,14390100440,0.84,0.83,0.84
"5085","421840","Industrial supplies","Industrial Supplies Wholesalers",7203,68651,2678178606,0.16,0.17,0.16
"5087","421850","Service establishment equipment & supplies","Service Establishment Equipment and Supplies Wholesalers",7005,63816,1975790514,0.43,0.46,0.57
"5087","446120","Service establishment equipment & supplies","Cosmetics, Beauty Supplies, and Perfume Stores",9436,74291,1467137512,0.57,0.54,0.43
"5088","421860","Transportation equipment & supplies, except motor vehicles","Transportation Equipment and Supplies (except Motor Vehicle) Wholesalers",3805,32123,1505893795,1,1,1
"5091","421910","Sporting & recreational goods & supplies","Sporting and Recreational Goods and Supplies Wholesalers",5424,43750,1479278866,1,1,1
"5092","421920","Toys & hobby goods & supplies","Toy and Hobby Goods and Supplies Wholesalers",2165,22803,929187665,1,1,1
"5093","421930","Scrap & waste materials","Recyclable Material Wholesalers",9078,111212,3156611330,1,1,1
"5094","421940","Jewelry, watches, precious stones, & precious metals","Jewelry, Watch, Precious Stone, and Precious Metal Wholesalers",7061,40829,1447381166,1,1,1
"5099","421990","Durable goods, nec","Other Miscellaneous Durable Goods Wholesalers",7936,51577,1907705092,1,1,1
"5111","422110","Printing & writing paper","Printing and Writing Paper Wholesalers",1014,19179,987245136,1,1,1
"5112","422120","Stationery & office supplies","Stationery and Office Supplies Wholesalers",5802,75093,2394773098,0.23,0.16,0.2
"5112","453210","Stationery & office supplies","Office Supplies and Stationery Stores",13278,178403,4497636272,0.53,0.39,0.38
"5112","454110","Stationery & office supplies","Electronic Shopping and Mail-Order Houses",5899,204048,4943435411,0.24,0.45,0.42
"5113","422130","Industrial & personal service paper","Industrial and Personal Service Paper Wholesalers",6256,69595,3005165200,1,1,1
"5122","422210","Drugs, drug proprietaries, & druggists’ sundries","Drugs and Druggists' Sundries Wholesalers",8989,138129,7240975508,1,1,1
"5131","313311","Piece goods, notions, & other dry goods","Broadwoven Fabric Finishing Mills",1961,63621,1774930461,0.35,0.69,0.6
"5131","422310","Piece goods, notions, & other dry goods","Piece Goods, Notions, and Other Dry Goods Wholesalers",3637,28950,1159084066,0.65,0.31,0.4
"5136","422320","Men’s & boys’ clothing & furnishings","Men's and Boys' Clothing and Furnishings Wholesalers",3247,37179,1400693676,1,1,1
"5137","422330","Women’s, children’s, & infants, clothing & accessories","Women's, Children's, and Infants' Clothing and Accessories Wholesalers",6640,62029,2465458885,1,1,1
"5139","422340","Footwear","Footwear Wholesalers",2744,23809,1166134358,1,1,1
"5141","422410","Groceries, generalgline","General Line Grocery Wholesalers",5375,213494,7486400697,1,1,1
"5142","422420","Packaged frozen foods","Packaged Frozen Food Wholesalers",1628,28006,984027477,1,1,1
"5143","422430","Dairy products, except dried or canned","Dairy Product (except Dried or Canned) Wholesalers",2083,31768,1054803173,1,1,1
"5144","422440","Poultry & poultry products","Poultry and Poultry Product Wholesalers",722,11185,333376919,1,1,1
"5145","422450","Confectionery","Confectionery Wholesalers",3382,44396,1424636535,1,1,1
"5146","422460","Fish & seafoods","Fish and Seafood Wholesalers",2459,21564,632105845,1,1,1
"5147","311612","Meats & meat products","Meat Processed from Carcasses",1588,102588,2795419813,0.38,0.76,0.72
"5147","422470","Meats & meat products","Meat and Meat Product Wholesalers",2584,33254,1092753005,0.62,0.24,0.28
"5148","422480","Fresh fruits & vegetables","Fresh Fruit and Vegetable Wholesalers",3816,69214,2064369115,1,1,1
"5149","422490","Groceries & related products, nec","Other Grocery and Related Products Wholesalers",11457,189646,6521759253,1,1,1
"5153","422510","Grain & field beans","Grain and Field Bean Wholesalers",4320,44879,1321542775,1,1,1
"5154","422520","Livestock","Livestock Wholesalers",1637,25253,236450623,1,1,1
"5159","422590","Farmgproduct raw materials, nec","Other Farm Product Raw Material Wholesalers",1088,9889,325251568,1,1,1
"5162","422610","Plastics materials & basic forms & shapes","Plastics Materials and Basic Forms and Shapes Wholesalers",3470,24201,1044017874,1,1,1
"5169","422690","Chemicals & allied products, nec","Other Chemical and Allied Products Wholesalers",12150,102307,5183068224,1,1,1
"5171","422710","Petroleum bulk stations & terminals","Petroleum Bulk Stations and Terminals",2993,41663,1535114640,0.21,0.28,0.33
"5171","454311","Petroleum bulk stations & terminals","Heating Oil Dealers",5602,57442,1778211888,0.38,0.39,0.38
"5171","454312","Petroleum bulk stations & terminals","Liquefied Petroleum Gas (Bottled Gas) Dealers",5960,49009,1309981697,0.41,0.33,0.28
"5172","422720","Petroleum & petroleum products, except bulk stations & terminals","Petroleum and Petroleum Products Wholesalers (except Bulk Stations and Terminals)",6523,72932,2672001215,1,1,1
"5181","422810","Beer & ale","Beer and Ale Wholesalers",2387,71806,2566745472,1,1,1
"5182","422820","Wine & distilled alcoholic beverages","Wine and Distilled Alcoholic Beverage Wholesalers",1779,44683,1956724061,1,1,1
"5191","422910","Farm supplies","Farm Supplies Wholesalers",11205,110405,3378275535,0.45,0.46,0.58
"5191","444220","Farm supplies","Nursery and Garden Centers",13912,127037,2445665043,0.55,0.54,0.42
"5192","422920","Books, periodicals, & newspapers","Book, Periodical, and Newspaper Wholesalers",3329,54544,1603053334,1,1,1
"5193","422930","Flowers, nursery stock, & florists’ supplies","Flower, Nursery Stock, and Florists' Supplies Wholesalers",3630,46327,1071467096,0.21,0.27,0.3
"5193","444220","Flowers, nursery stock, & florists’ supplies","Nursery and Garden Centers",13912,127037,2445665043,0.79,0.73,0.7
"5194","422940","Tobacco & tobacco products","Tobacco and Tobacco Product Wholesalers",1551,28770,965503268,1,1,1
"5198","422950","Paints, varnishes, & supplies","Paint, Varnish, and Supplies Wholesalers",3284,27011,1038836257,0.31,0.37,0.48
"5198","444120","Paints, varnishes, & supplies","Paint and Wallpaper Stores",7158,46306,1141830335,0.69,0.63,0.52
"5199","422990","Nondurable goods, nec","Other Miscellaneous Nondurable Goods Wholesalers",11118,75073,2387405169,0.55,0.54,0.61
"5199","541890","Nondurable goods, nec","Other Services Related to Advertising",9272,65000,1535592406,0.45,0.46,0.39
"5211","444110","Lumber & other building materials dealers","Home Centers",11523,384672,8077365699,0.32,0.59,0.5
"5211","444190","Lumber & other building materials dealers","Other Building Material Dealers",24635,270228,7998073742,0.68,0.41,0.5
"5231","444120","Paint, glass, & wallpaper stores","Paint and Wallpaper Stores",7158,46306,1141830335,0.23,0.15,0.12
"5231","444190","Paint, glass, & wallpaper stores","Other Building Material Dealers",24635,270228,7998073742,0.77,0.85,0.88
"5251","444130","Hardware stores","Hardware Stores",18665,177432,3222644632,1,1,1
"5261","444210","Retail nurseries, lawn & garden supply stores","Outdoor Power Equipment Stores",6171,33330,722163525,0.31,0.21,0.23
"5261","444220","Retail nurseries, lawn & garden supply stores","Nursery and Garden Centers",13912,127037,2445665043,0.69,0.79,0.77
"5271","453930","Mobile home dealers","Manufactured (Mobile) Home Dealers",5261,44776,1334824745,1,1,1
"5311","452110","Department stores (excl leased depts) $$","Department Stores",11748,1800788,25972760921,0.71,0.75,0.74
"5311","452910","Department stores (excl leased depts) $$","Warehouse Clubs and Superstores",4747,612583,9348096328,0.29,0.25,0.26
"5331","452990","Variety stores","All Other General Merchandise Stores",23655,295951,3824704619,1,1,1
"5399","452910","Miscellaneous general merchandise stores","Warehouse Clubs and Superstores",4747,612583,9348096328,0.17,0.67,0.71
"5399","452990","Miscellaneous general merchandise stores","All Other General Merchandise Stores",23655,295951,3824704619,0.83,0.33,0.29
"5411","445110","Grocery stores","Supermarkets and Other Grocery (except Convenience) Stores",59995,2393917,37699528777,0.32,0.6,0.63
"5411","445120","Grocery stores","Convenience Stores",25322,147790,1730742806,0.14,0.04,0.03
"5411","445210","Grocery stores","Meat Markets",6885,48802,870909560,0.04,0.01,0.01
"5411","447110","Grocery stores","Gasoline Stations with Convenience Stores",89459,766064,9897837058,0.48,0.19,0.17
"5411","452910","Grocery stores","Warehouse Clubs and Superstores",4747,612583,9348096328,0.03,0.15,0.16
"5421","445210","Meat & fish (seafood) markets, including freezer provisioners","Meat Markets",6885,48802,870909560,0.42,0.36,0.33
"5421","445220","Meat & fish (seafood) markets, including freezer provisioners","Fish and Seafood Markets",2583,14207,260233442,0.16,0.11,0.1
"5421","454390","Meat & fish (seafood) markets, including freezer provisioners","Other Direct Selling Establishments",7017,71659,1523387504,0.43,0.53,0.57
"5431","445230","Fruit & vegetable markets","Fruit and Vegetable Markets",4356,45653,909915007,1,1,1
"5441","311330","Candy, nut, & confectionery stores","Confectionery Manufacturing from Purchased Chocolate",1644,46461,1223760410,0.27,0.47,0.5
"5441","311340","Candy, nut, & confectionery stores","Nonchocolate Confectionery Manufacturing",635,27114,859958094,0.1,0.27,0.35
